Threads,Runtime,Mean,StDev
100,native(glibc),1664.0,0.0
100,native(musl),366.93333333333334,43.511633182658436
100,wasmtime,16770.133333333335,67.52566590234825
100,iwasm,54832.53333333333,252.17715113696474
100,wasmer,71491.6,355.77123736093864
1000,native(glibc),1664.0,0.0
1000,native(musl),379.73333333333335,22.97670317710722
1000,wasmtime,16710.933333333334,76.61459100951694
1000,iwasm,55015.066666666666,269.6519897118424
1000,wasmer,74999.46666666666,314.24785688299545
10000,native(glibc),1664.0,0.0
10000,native(musl),366.93333333333334,43.511633182658436
10000,wasmtime,16746.133333333335,78.06823226440375
10000,iwasm,89662.4,4260.091341743742
10000,wasmer,77890.4,351.6598356366561
